date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:44:35	9966/9966	U-----	200	untouched ('')	image/jpeg	etag:%22b557b2796584d31:0%22	http://skygreenwaste.com/img/flickr/7.jpg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/flickr/7.jpg	(from http://skygreenwaste.com/)
16:44:35	97362/97362	U-----	200	untouched ('')	application/javascript	etag:%22488276a880d31:0%22	http://skygreenwaste.com/js/jquery-1.12.0.min.js	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/js/jquery-1.12.0.min.js	(from http://skygreenwaste.com/)
16:44:35	37045/37045	U-----	200	untouched ('')	application/javascript	etag:%22704436a880d31:0%22	http://skygreenwaste.com/js/bootstrap.min.js	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/js/bootstrap.min.js	(from http://skygreenwaste.com/)
16:44:35	151289/151289	U-----	200	untouched ('')	application/javascript	etag:%223f54736a880d31:0%22	http://skygreenwaste.com/js/plugins.js	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/js/plugins.js	(from http://skygreenwaste.com/)
16:44:36	1201/1201	U-----	200	untouched ('')	application/javascript	etag:%2267f6f45a880d31:0%22	http://skygreenwaste.com/js/ajax-mail.js	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/js/ajax-mail.js	(from http://skygreenwaste.com/)
16:44:36	3130/3130	U-----	200	untouched ('')	application/javascript	etag:%22817d3c6a880d31:0%22	http://skygreenwaste.com/js/main.js	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/js/main.js	(from http://skygreenwaste.com/)
16:44:36	17083/17083	U-----	200	untouched ('')	application/javascript	etag:%22488276a880d31:0%22	http://skygreenwaste.com/js/jquery.flexisel.js	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/js/jquery.flexisel.js	(from http://skygreenwaste.com/)
16:44:36	99212/99212	U-----	200	untouched ('')	application/octet-stream	etag:%2229a8a21a880d31:0%22	http://skygreenwaste.com/fonts/Material-Design-Iconic-Font.ttf?v=2.2.0	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/fonts/Material-Design-Iconic-Fontd1f1.ttf	(from http://skygreenwaste.com/css/material-design-iconic-font.min.css)
16:44:37	165742/165742	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%22a65ff90a880d31:0%22	http://skygreenwaste.com/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/fonts/fontawesome-webfont3e6e.eot	(from http://skygreenwaste.com/css/font-awesome.min.css)
16:44:37	165742/165742	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%22a65ff90a880d31:0%22	http://skygreenwaste.com/fonts/fontawesome-webfont.eot?	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/fonts/fontawesome-webfontd41d.eot	(from http://skygreenwaste.com/css/font-awesome.min.css)
