date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:30:32	44120/44120	---M--	200	added ('OK')	image/jpeg	etag:%22b0c61b746584d31:0%22	http://skygreenwaste.com/img/22.jpg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/22.jpg	(from http://skygreenwaste.com/)
16:30:42	21440/21440	---M--	200	added ('OK')	image/png	etag:%22e8d3eb766584d31:0%22	http://skygreenwaste.com/img/logo-2.png	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/logo-2.png	(from http://skygreenwaste.com/)
16:30:45	82795/82795	---M--	200	added ('OK')	image/jpeg	etag:%22eaad97b6584d31:0%22	http://skygreenwaste.com/img/project/2.jpg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/project/2.jpg	(from http://skygreenwaste.com/)
16:30:47	52556/52556	---M--	200	added ('OK')	image/jpeg	etag:%228d37ad746584d31:0%22	http://skygreenwaste.com/img/33.jpg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/33.jpg	(from http://skygreenwaste.com/)
16:30:52	18988/18988	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jun%202018%2011:00:58%20GMT	http://skygreenwaste.com/blog.aspx	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/blog.html	(from http://skygreenwaste.com/)
16:30:57	9035/9035	---M--	200	added ('OK')	image/jpeg	etag:%2214761796584d31:0%22	http://skygreenwaste.com/img/flickr/1.jpg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/flickr/1.jpg	(from http://skygreenwaste.com/)
16:31:08	10253/10253	---M--	200	added ('OK')	image/jpeg	etag:%2219817b796584d31:0%22	http://skygreenwaste.com/img/flickr/3.jpg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/flickr/3.jpg	(from http://skygreenwaste.com/)
16:31:09	9686/9686	---M--	200	added ('OK')	image/jpeg	etag:%2214761796584d31:0%22	http://skygreenwaste.com/img/flickr/2.jpg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/flickr/2.jpg	(from http://skygreenwaste.com/)
16:31:13	8176/8176	---M--	200	added ('OK')	image/jpeg	etag:%2219817b796584d31:0%22	http://skygreenwaste.com/img/flickr/4.jpg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/flickr/4.jpg	(from http://skygreenwaste.com/)
16:31:25	8041/8041	---M--	200	added ('OK')	image/jpeg	etag:%2230bb95796584d31:0%22	http://skygreenwaste.com/img/flickr/5.jpg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/flickr/5.jpg	(from http://skygreenwaste.com/)
